index,model1,dataset1,gpu_num1,batch_size1,speed1,co_pipeline_rank,pipeline_strategy,model2,dataset2,gpu_num2,batch_size2,speed2
239,GPT2-Medium,WikiText,2,512/8,0.0,"0,1","18,6",vgg19,ImageNet,2,128,0.0
240,GPT2-Medium,WikiText,2,512/8,0.69,"0,1","18,6",DCGAN,LSUN,2,32,0.37
241,GPT2-Medium,WikiText,2,512/8,0.0,"0,1","18,6",DCGAN,LSUN,2,64,0.0
242,GPT2-Medium,WikiText,2,512/8,0.0,"0,1","18,6",DCGAN,LSUN,2,128,0.0
243,GPT2-Medium,WikiText,2,512/8,0.0,"0,1","18,6",PointNet,ShapeNet,2,32,0.0
244,GPT2-Medium,WikiText,2,512/8,0.0,"0,1","18,6",PointNet,ShapeNet,2,64,0.0
245,GPT2-Medium,WikiText,2,512/8,0.0,"0,1","18,6",PointNet,ShapeNet,2,128,0.0
246,GPT2-Medium,WikiText,4,512/8,0.58,"0,1,2,3","6,6,6,6",resnet50,ImageNet,4,32,0.56
247,GPT2-Medium,WikiText,4,512/8,0.53,"0,1,2,3","6,6,6,6",resnet50,ImageNet,4,64,0.7
248,GPT2-Medium,WikiText,4,512/8,0.0,"0,1,2,3","6,6,6,6",resnet50,ImageNet,4,128,0.0
249,GPT2-Medium,WikiText,4,512/8,0.41,"0,1,2,3","6,6,6,6",vgg19,ImageNet,4,32,0.7
